"loan_id","client_id","start_date","loan_amount","due_date","loan_status","scoring_score"
394223,6152,2022-12-27,20000,2023-04-28,5,718.77
367385,6158,2022-09-08,45000,2022-11-07,5,544.62
447507,6158,2023-08-14,16000,2023-09-13,5,388.77
452347,6158,2023-09-04,50000,2023-10-04,5,388.77
399654,6170,2023-01-20,60000,2023-02-19,5,461.36
404750,6170,2023-02-13,70000,2023-03-15,5,514.02
354277,6174,2022-07-13,25000,2022-08-12,5,539.65
363063,6174,2022-08-20,25000,2022-10-19,5,591.56
377694,6174,2022-10-21,20000,2022-12-20,5,703.05
390734,6174,2022-12-14,45000,2023-04-17,5,635.93
384900,6182,2022-11-21,32000,2022-12-21,4,474.03
390314,6194,2022-12-13,10000,2023-01-12,5,600.74
429879,6194,2023-05-29,20000,2023-06-28,5,536.27
356955,6219,2022-07-24,25000,2022-08-23,5,542.13
381611,6233,2022-11-07,25000,2022-12-07,5,304.58
390368,6233,2022-12-13,35000,2023-01-12,5,304.58
397843,6233,2023-01-16,40000,2023-02-15,5,448.31
427437,6264,2023-05-18,20000,2023-06-17,5,611.99
373298,6265,2022-10-03,20000,2023-02-03,5,452.99
368746,6281,2022-09-14,50000,2022-10-14,5,625.94
388705,6281,2022-12-06,80000,2023-01-05,5,591.38
396469,6281,2023-01-07,80000,2023-03-08,5,591.38
412468,6281,2023-03-16,70000,2023-07-14,5,562.90
440742,6281,2023-07-17,13000,2023-08-16,5,658.50
460723,6281,2023-10-11,40000,2023-11-10,5,658.50
449161,6311,2023-08-21,20000,2023-10-20,4,411.83
362091,6334,2022-08-16,40000,2022-11-14,5,423.33
385806,6334,2022-11-24,30000,2022-12-24,5,522.60
420723,6341,2023-04-19,30000,2023-05-19,4,352.57
354622,6344,2022-07-14,10000,2022-09-12,5,581.46
405740,6344,2023-02-16,20000,2023-04-20,5,655.53
406910,6383,2023-02-21,55000,2023-06-01,5,316.49
430824,6383,2023-06-01,60000,2023-08-02,5,316.49
382978,6388,2022-11-13,15000,2022-12-13,5,573.18
396043,6388,2023-01-05,13000,2023-02-04,5,573.18
398187,6388,2023-01-15,14000,2023-02-14,5,573.18
401601,6388,2023-01-29,24000,2023-02-28,5,573.18
404156,6388,2023-02-09,15000,2023-03-11,5,551.74
406377,6388,2023-02-18,21000,2023-03-20,5,551.74
411535,6388,2023-03-12,24000,2023-04-11,5,647.34
417776,6388,2023-04-06,42000,2023-05-06,5,647.34
421839,6388,2023-04-24,49000,2023-05-24,5,477.89
428223,6388,2023-05-22,60000,2023-06-21,5,540.93
435198,6388,2023-06-21,62000,2023-07-21,5,540.93
442154,6388,2023-07-21,33000,2023-08-20,5,477.89
450775,6388,2023-08-28,15000,2023-09-27,5,540.93
453148,6388,2023-09-07,32000,2023-10-07,5,540.93
454250,6388,2023-09-12,70000,2023-10-12,5,540.93
460140,6388,2023-10-08,80000,2023-11-07,4,477.89
353381,6391,2022-07-08,10000,2022-09-06,5,766.25
361564,6406,2022-08-13,20000,2022-09-12,5,611.89
376395,6406,2022-10-17,20000,2022-11-16,5,611.89
386653,6406,2022-11-28,10000,2022-12-28,5,611.89
389537,6406,2022-12-09,20000,2023-01-08,5,611.89
398107,6406,2023-01-14,20000,2023-02-13,5,611.89
438824,6411,2023-07-07,30000,2023-08-06,5,641.95
445205,6411,2023-08-03,65000,2023-10-05,4,652.18
447696,6412,2023-08-15,45000,2023-09-14,5,232.59
405199,6419,2023-02-14,15000,2023-03-16,5,344.65
423338,6419,2023-04-29,60000,2023-05-29,5,413.97
439752,6419,2023-07-12,70000,2023-08-11,5,527.34
358371,6440,2022-07-29,10000,2022-08-28,5,486.03
395973,6440,2023-01-05,10000,2023-02-04,5,603.16
458960,6444,2023-10-03,10000,2023-11-02,5,565.60
425606,6446,2023-05-10,50000,2023-06-09,5,600.54
384959,6456,2022-11-22,40000,2023-01-22,5,452.41
405964,6456,2023-02-16,50000,2023-04-21,5,378.61
424138,6456,2023-05-04,60000,2023-06-03,5,495.69
432499,6456,2023-06-09,70000,2023-07-09,5,454.18
367968,6457,2022-09-10,80000,2022-12-11,5,536.07
390195,6457,2022-12-12,80000,2023-02-12,5,536.07
405106,6457,2023-02-13,80000,2023-04-17,5,507.59
447653,6457,2023-08-14,80000,2023-09-13,5,507.59
407342,6459,2023-02-22,60000,2023-08-06,5,446.43
446208,6459,2023-08-08,60000,2023-10-11,5,471.61
409771,6474,2023-03-04,25000,2023-04-03,5,265.15
455066,6480,2023-09-16,30000,2023-11-16,4,482.87
356211,6485,2022-07-21,51000,2022-08-20,4,473.25
373098,6499,2022-10-01,30000,2022-11-30,5,630.79
401615,6499,2023-01-29,15000,2023-02-28,5,630.79
415370,6499,2023-03-27,10000,2023-05-26,5,630.79
429916,6499,2023-05-29,40000,2023-09-26,5,695.26
402350,6517,2023-02-01,30000,2023-03-03,5,352.57
457067,6519,2023-09-25,50000,2023-10-25,5,575.73
463555,6519,2023-10-23,60000,2023-11-22,4,424.23
390091,6520,2022-12-12,15000,2023-01-11,5,317.76
357338,6535,2022-07-26,10000,2022-08-25,5,550.70
363909,6535,2022-08-24,20000,2022-09-23,5,550.70
372109,6535,2022-09-28,10000,2022-10-28,5,643.02
381716,6535,2022-11-08,55000,2023-01-08,5,643.02
397747,6535,2023-01-13,30000,2023-03-16,5,643.02
433834,6535,2023-06-15,60000,2023-07-15,5,547.42
441311,6535,2023-07-18,70000,2023-11-23,4,526.91
421957,6548,2023-04-25,8000,2023-05-25,5,491.47
461005,6548,2023-10-12,40000,2023-11-11,5,633.32
461330,6552,2023-10-13,45000,2023-11-12,4,333.06
366347,6556,2022-09-03,20000,2022-10-03,5,426.29
374029,6556,2022-10-06,25000,2022-12-08,5,399.82
378604,6557,2022-10-25,40000,2022-11-24,5,412.69
433955,6572,2023-06-15,30000,2023-07-15,5,330.07
439384,6572,2023-07-10,40000,2023-08-09,5,375.84
410709,6584,2023-03-08,50000,2023-05-10,4,613.94
421849,6608,2023-04-24,20000,2023-09-04,5,285.10
386692,6615,2022-11-28,10000,2022-12-28,5,482.83
358019,6628,2022-07-28,60000,2022-08-27,5,600.74
372790,6639,2022-09-30,30000,2022-10-30,5,378.23
414899,6679,2023-03-25,25000,2023-04-24,5,607.69
440312,6679,2023-07-14,10000,2023-08-13,5,548.61
393502,6686,2022-12-24,10000,2023-02-22,5,537.83
403868,6686,2023-02-08,20000,2023-03-10,5,537.83
411130,6686,2023-03-10,10000,2023-04-09,5,594.40
430619,6686,2023-05-31,10000,2023-06-30,5,594.40
434943,6686,2023-06-20,10000,2023-07-20,5,594.40
438960,6686,2023-07-08,10000,2023-09-06,5,610.97
382145,6690,2022-11-09,70000,2022-12-09,5,498.43
398137,6690,2023-01-14,70000,2023-02-13,5,526.91
407216,6690,2023-02-22,80000,2023-05-24,5,594.03
358551,6693,2022-07-30,50000,2022-11-04,5,365.84
408525,6701,2023-02-27,60000,2023-03-29,5,374.34
416527,6701,2023-03-31,60000,2023-04-30,5,425.23
379209,6712,2022-10-27,10000,2022-12-26,5,461.94
390749,6712,2022-12-14,30000,2023-01-13,5,501.73
396647,6712,2023-01-08,40000,2023-02-07,5,461.94
402907,6712,2023-02-03,47000,2023-03-05,5,433.46
434324,6712,2023-06-17,10000,2023-07-17,5,497.93
396848,6735,2023-01-09,60000,2023-05-15,4,281.19
364130,6743,2022-08-24,70000,2022-10-23,5,532.77
448099,6747,2023-08-16,50000,2023-10-26,4,638.78
358319,6774,2022-07-29,10000,2022-08-28,5,506.37
442219,6774,2023-07-22,20000,2023-08-21,5,548.29
390698,6782,2022-12-14,10000,2023-01-13,5,626.47
397741,6782,2023-01-13,10000,2023-02-12,5,626.47
405421,6782,2023-02-15,10000,2023-06-15,5,693.59
361938,6785,2022-08-15,70000,2022-11-13,5,509.53
380402,6785,2022-11-01,20000,2022-12-31,5,577.80
398874,6785,2023-01-18,20000,2023-05-18,5,577.80
425114,6785,2023-05-08,30000,2023-09-05,5,549.32
361792,6841,2022-08-15,40000,2022-09-14,5,610.24
402196,6920,2023-01-31,20000,2023-03-02,5,528.58
386242,6939,2022-11-26,30000,2023-01-27,5,592.80
356652,6941,2022-07-22,20000,2022-08-21,5,540.71
441599,6941,2023-07-20,15000,2023-08-19,5,607.83
386554,6944,2022-11-28,70000,2022-12-28,5,473.25
390120,6944,2022-12-12,20000,2023-01-11,5,537.72
414213,6945,2023-03-23,10000,2023-04-22,5,559.70
418897,6951,2023-04-11,37000,2023-05-11,5,438.46
437977,6951,2023-07-04,40000,2023-08-03,5,507.59
451875,6951,2023-09-01,40000,2023-10-31,5,536.07
364601,6967,2022-08-26,70000,2022-09-25,5,654.06
379986,6967,2022-10-31,80000,2022-11-30,5,654.06
387325,6967,2022-11-30,80000,2023-01-29,5,654.06
404234,6967,2023-02-09,50000,2023-03-11,5,654.06
451388,6967,2023-08-30,80000,2023-09-29,5,654.06
404298,6985,2023-02-10,5000,2023-03-12,5,510.03
423355,6985,2023-04-29,10000,2023-05-29,5,562.69
429379,6985,2023-05-26,15000,2023-06-25,5,562.69
463420,6985,2023-10-23,20000,2023-11-22,4,635.83
438083,7007,2023-07-04,35000,2023-11-03,4,574.21
401735,7011,2023-01-30,20000,2023-04-30,5,727.47
423550,7011,2023-05-02,35000,2023-06-01,5,635.83
376782,7041,2022-10-18,40000,2023-02-15,5,410.55
387849,7046,2022-12-02,10000,2023-01-01,5,607.61
402287,7046,2023-02-01,10000,2023-03-03,5,660.27
412371,7046,2023-03-15,25000,2023-05-14,5,701.78
432205,7046,2023-06-07,10000,2023-07-07,5,575.58
458454,7046,2023-09-30,15000,2023-11-29,4,575.58
400370,7048,2023-01-24,70000,2023-06-07,5,413.97
432968,7048,2023-06-11,60000,2023-10-29,5,385.49
361524,7053,2022-08-16,50000,2022-09-15,4,640.68
407086,7060,2023-02-21,50000,2023-03-23,5,491.26
357591,7073,2022-07-26,60000,2022-08-25,5,519.95
392146,7073,2022-12-20,50000,2023-01-19,5,587.07
400283,7073,2023-01-23,75000,2023-03-24,5,587.07
416365,7073,2023-03-31,60000,2023-07-31,5,587.07
441506,7073,2023-07-19,80000,2023-11-19,4,587.07
392875,7076,2022-12-22,30000,2023-01-21,5,494.12
435497,7076,2023-06-22,20000,2023-07-22,5,617.83
455052,7076,2023-09-16,20000,2023-10-16,4,670.49
355015,7084,2022-07-15,60000,2022-11-13,5,477.08
355930,7091,2022-07-20,10000,2022-09-18,5,393.77
374869,7092,2022-10-10,30000,2022-11-09,5,498.06
382716,7092,2022-11-11,30000,2022-12-11,5,522.24
390522,7092,2022-12-13,30000,2023-01-12,5,510.93
398125,7092,2023-01-14,20000,2023-02-13,5,453.11
388202,7098,2022-12-03,60000,2023-04-05,5,580.60
445880,7098,2023-08-07,60000,2023-11-05,4,610.46
363116,7102,2022-08-20,30000,2022-12-22,5,445.45
396578,7102,2023-01-07,30000,2023-04-09,5,529.82
441161,7102,2023-07-18,25000,2023-08-17,5,529.82
425823,7119,2023-05-11,30000,2023-06-10,5,390.06
431355,7119,2023-06-04,30000,2023-07-04,5,450.61
432224,7119,2023-06-08,30000,2023-07-08,5,503.27
363494,7129,2022-08-22,80000,2022-09-21,5,545.41
377600,7129,2022-10-21,80000,2022-11-20,5,561.98
386704,7129,2022-11-28,80000,2022-12-28,5,561.98
399197,7129,2023-01-19,80000,2023-02-18,5,561.98
411680,7129,2023-03-13,80000,2023-04-12,5,561.98
424525,7129,2023-05-05,80000,2023-06-04,5,498.94
433399,7129,2023-06-13,70000,2023-07-13,5,552.62
440362,7129,2023-07-14,80000,2023-08-13,5,566.20
452227,7129,2023-09-04,80000,2023-10-04,5,633.32
459340,7129,2023-10-04,80000,2023-11-03,4,537.72
379769,7157,2022-10-30,20000,2022-11-29,5,656.82
366420,7201,2022-09-04,20000,2022-10-04,5,583.17
381626,7201,2022-11-07,50000,2022-12-07,5,635.83
426323,7211,2023-05-13,20000,2023-08-12,5,701.78
416666,7213,2023-04-01,20000,2023-05-01,5,586.64
373434,7247,2022-10-03,32000,2022-12-02,5,287.94
380841,7247,2022-11-03,42500,2023-01-30,5,294.03
358188,7257,2022-07-29,20000,2022-08-28,5,587.01
363760,7275,2022-08-23,35000,2022-09-22,5,474.59
369483,7275,2022-09-16,30000,2022-10-16,5,474.59
370604,7341,2022-09-21,35000,2022-11-26,5,450.05
398066,7341,2023-01-14,45000,2023-02-13,5,287.15
462372,7351,2023-10-18,20000,2023-11-17,4,521.90
357946,7354,2022-07-28,5000,2022-11-26,5,673.93
386618,7354,2022-11-28,7000,2023-03-30,5,676.58
423259,7354,2023-04-29,7000,2023-08-27,5,701.78
450400,7354,2023-08-26,5000,2023-11-25,4,701.78
455401,7357,2023-09-18,15000,2023-10-18,5,520.84
380023,7360,2022-10-31,20000,2022-11-30,5,524.44
386664,7360,2022-11-28,40000,2022-12-28,5,540.99
355345,7367,2022-07-18,30000,2022-09-18,5,599.50
385463,7367,2022-11-23,20000,2023-01-22,5,652.16
416230,7367,2023-03-30,20000,2023-08-06,5,652.16
382473,7368,2022-11-11,80000,2022-12-11,5,490.04
356703,7376,2022-07-22,60000,2022-08-21,5,552.62
363217,7376,2022-08-21,70000,2022-11-19,5,524.14
384927,7376,2022-11-21,20000,2022-12-21,5,619.74
409715,7376,2023-03-04,20000,2023-04-03,5,552.62
435035,7376,2023-06-20,30000,2023-07-20,5,633.32
391032,7393,2022-12-15,80000,2023-04-23,5,494.56
390321,7411,2022-12-13,15000,2023-04-12,5,701.77
455967,7419,2023-09-20,35000,2023-10-20,5,526.18
436121,7420,2023-06-26,30000,2023-09-24,5,511.68
365311,7432,2022-08-30,15000,2022-09-29,5,521.90
375868,7436,2022-10-14,30000,2023-02-12,5,446.43
369710,7460,2022-09-17,40000,2022-11-27,5,484.01
404924,7465,2023-02-13,55000,2023-03-15,5,391.09
429077,7465,2023-05-25,30000,2023-08-24,5,420.43
447824,7465,2023-08-15,50000,2023-09-14,5,431.74
453023,7465,2023-09-07,70000,2023-10-07,5,431.74
454825,7465,2023-09-15,70000,2023-10-15,5,473.25
430738,7466,2023-06-01,40000,2023-07-01,5,550.49
384349,7472,2022-11-19,60000,2022-12-19,5,543.65
413125,7477,2023-03-18,40000,2023-04-17,5,452.41
381359,7498,2022-11-07,30000,2022-12-07,5,340.64
399760,7498,2023-01-21,30000,2023-02-20,5,340.64
409488,7498,2023-03-03,30000,2023-06-28,5,340.64
380725,7504,2022-11-03,30000,2022-12-03,4,378.92
406138,7545,2023-02-17,25000,2023-03-19,5,660.17
414265,7548,2023-03-23,16000,2023-04-22,5,551.91
418808,7548,2023-04-11,30000,2023-08-11,5,603.82
448440,7548,2023-08-17,40000,2023-11-20,4,441.20
400843,7559,2023-01-26,40000,2023-02-25,5,568.87
409323,7559,2023-03-02,50000,2023-06-30,5,548.95
437652,7559,2023-07-02,60000,2023-10-30,5,579.95
462573,7560,2023-10-19,80000,2023-11-18,4,501.73
422335,7563,2023-04-26,30000,2023-05-26,5,515.86
455439,7563,2023-09-18,20000,2023-10-18,5,566.92
355812,7570,2022-07-19,25000,2022-08-18,5,411.24
402461,7574,2023-02-01,40000,2023-03-03,5,460.96
386832,7602,2022-11-28,70000,2023-02-26,5,429.30
454779,7619,2023-09-15,10000,2023-10-15,5,703.54
354086,7638,2022-07-12,60000,2022-09-10,5,365.84
362159,7638,2022-08-16,60000,2022-10-15,5,440.25
392744,7643,2022-12-22,20000,2023-01-21,5,313.18
362949,7644,2022-08-19,5000,2022-12-18,5,606.62
393981,7644,2022-12-27,15000,2023-04-26,5,702.22
383991,7659,2022-11-17,35000,2023-01-16,5,420.91
398496,7659,2023-01-16,60000,2023-02-15,5,406.45
428314,7659,2023-05-22,10000,2023-06-21,5,420.69
431628,7659,2023-06-05,35000,2023-07-05,4,506.37
373352,7670,2022-10-03,8000,2022-11-02,5,559.93
381282,7670,2022-11-06,28000,2022-12-06,5,559.93
389564,7670,2022-12-09,45000,2023-02-09,5,540.46
365975,7675,2022-09-01,50000,2022-11-30,5,509.84
384056,7694,2022-11-17,60000,2023-01-16,5,522.60
403436,7694,2023-02-06,50000,2023-03-08,5,427.00
415367,7694,2023-03-27,50000,2023-04-26,5,455.48
422482,7694,2023-04-26,70000,2023-07-26,5,455.48
427397,7698,2023-05-18,20000,2023-06-17,5,496.34
433468,7698,2023-06-13,5000,2023-07-13,5,549.00
451029,7698,2023-08-29,10000,2023-09-28,5,605.57
354515,7712,2022-07-13,40000,2022-08-12,5,461.94
364628,7712,2022-08-26,40000,2022-09-25,5,529.06
371155,7712,2022-09-23,50000,2022-10-23,5,529.06
378359,7712,2022-10-24,40000,2022-11-23,5,461.94
390942,7712,2022-12-15,50000,2023-01-14,5,461.94
397903,7712,2023-01-13,50000,2023-02-12,5,461.94
405069,7712,2023-02-13,70000,2023-03-15,5,461.94
412271,7712,2023-03-15,40000,2023-04-14,5,461.94
419557,7712,2023-04-14,70000,2023-05-14,5,461.94
426388,7712,2023-05-15,70000,2023-06-14,5,461.94
433371,7712,2023-06-13,60000,2023-07-13,5,461.94
440397,7712,2023-07-14,70000,2023-08-13,5,461.94
441284,7721,2023-07-18,20000,2023-09-17,5,440.82
393348,7738,2022-12-23,20000,2023-02-22,5,594.03
431605,7738,2023-06-05,25000,2023-07-05,5,594.03
374340,7783,2022-10-07,50000,2023-02-09,5,360.29
410926,7783,2023-03-09,60000,2023-04-08,5,522.60
354779,7787,2022-07-14,55000,2022-09-12,5,636.06
372254,7787,2022-09-28,10000,2022-10-28,5,526.88
375042,7787,2022-10-10,70000,2022-11-09,5,555.36
385045,7787,2022-11-22,10000,2022-12-22,5,477.89
394646,7787,2022-12-28,10000,2023-01-27,5,506.37
405874,7787,2023-02-16,20000,2023-03-18,5,477.89
419367,7787,2023-04-13,20000,2023-05-13,5,477.89
363242,7796,2022-08-22,22500,2022-09-21,5,290.47
368822,7796,2022-09-14,25000,2022-10-14,5,417.54
452812,7812,2023-09-06,80000,2023-10-06,5,543.87
367202,7813,2022-09-07,40000,2023-01-07,5,590.02
453638,7835,2023-09-10,10000,2023-11-09,4,616.54
377428,7863,2022-10-20,10000,2022-11-19,5,606.62
376966,7867,2022-10-19,15000,2022-11-18,5,531.26
376223,7870,2022-10-15,40000,2023-02-17,5,502.12
405688,7871,2023-02-16,20000,2023-04-19,5,617.84
443960,7871,2023-07-28,15000,2023-08-27,5,617.84
411152,7882,2023-03-10,40000,2023-05-09,5,615.73
430605,7882,2023-05-31,30000,2023-07-30,5,395.39
401084,7885,2023-01-27,50000,2023-02-26,5,521.99
376523,7894,2022-10-17,30000,2023-01-15,5,288.05
374621,7911,2022-10-08,4000,2022-11-07,5,682.25
388483,7911,2022-12-05,5000,2023-01-04,5,682.25
402631,7911,2023-02-02,5000,2023-03-04,5,682.25
423740,7911,2023-05-02,4000,2023-06-01,5,710.73
454402,7912,2023-09-13,45000,2023-10-13,5,217.58
457626,7912,2023-09-27,50000,2023-10-27,5,213.04
462912,7912,2023-10-20,50000,2023-11-19,4,184.56
440409,7942,2023-07-14,10000,2023-08-13,5,486.50
382824,7944,2022-11-12,15000,2022-12-12,5,604.16
378239,7949,2022-10-24,10000,2022-11-23,5,344.65
426838,7949,2023-05-16,45000,2023-06-15,5,481.09
432033,7953,2023-06-07,17000,2023-07-07,5,594.68
355607,7975,2022-07-18,50000,2022-11-18,5,431.74
381711,7975,2022-11-08,50000,2023-03-15,5,431.74
416884,7975,2023-04-03,60000,2023-06-06,5,527.34
442684,7975,2023-07-24,60000,2023-08-23,5,527.34
449710,7975,2023-08-23,80000,2023-09-22,5,431.74
457094,7975,2023-09-25,70000,2023-10-25,5,460.22
464696,7975,2023-10-27,70000,2023-11-26,4,460.22
410578,7987,2023-03-08,30000,2023-04-07,5,584.83
436432,7987,2023-06-26,70000,2023-07-26,5,637.49
427236,7997,2023-05-18,30000,2023-08-16,5,609.13
415378,8003,2023-03-27,5000,2023-04-26,5,359.43
421149,8003,2023-04-20,10000,2023-06-19,5,412.09
435173,8003,2023-06-20,30000,2023-09-21,5,344.97
458799,8003,2023-10-02,15000,2023-11-01,4,316.49
379253,8026,2022-10-27,10000,2022-11-26,5,537.72
387065,8026,2022-11-29,10000,2022-12-29,5,537.72
429787,8030,2023-05-27,60000,2023-06-26,5,460.22
379138,8034,2022-10-27,45000,2022-11-26,5,548.95
410701,8034,2023-03-08,55000,2023-04-07,5,619.74
420546,8034,2023-04-18,65000,2023-05-18,5,524.14
454601,8050,2023-09-14,30000,2023-11-15,4,614.20
402536,8064,2023-02-02,20000,2023-03-04,5,649.12
437143,8064,2023-06-29,30000,2023-07-29,5,642.70
423073,8081,2023-04-28,10000,2023-05-28,5,667.23
386867,8088,2022-11-29,35000,2023-01-28,5,633.32
357560,8091,2022-07-26,60000,2022-11-23,5,501.73
385534,8091,2022-11-24,70000,2023-03-27,5,501.73
419563,8091,2023-04-14,80000,2023-08-13,5,473.25
411951,8100,2023-03-14,80000,2023-04-13,5,568.85
421629,8100,2023-04-24,60000,2023-06-24,5,568.85
416761,8106,2023-04-02,50000,2023-05-02,5,622.61
420535,8164,2023-04-18,20000,2023-05-18,5,619.74
428997,8164,2023-05-24,80000,2023-06-23,5,619.74
447799,8164,2023-08-15,80000,2023-09-14,5,619.74
464003,8167,2023-10-25,50000,2023-11-24,4,524.77
459709,8184,2023-10-06,10000,2023-11-05,4,600.23
411605,8200,2023-03-13,30000,2023-07-14,5,459.78
352813,8209,2022-07-05,15000,2022-08-04,5,361.46
403242,8240,2023-02-06,10000,2023-03-08,5,379.31
429202,8240,2023-05-25,60000,2023-06-24,5,453.72
450433,8240,2023-08-26,70000,2023-09-25,4,425.24
407090,8248,2023-02-21,15000,2023-05-22,5,704.99
425605,8248,2023-05-10,15000,2023-06-09,5,733.47
433223,8248,2023-06-12,10000,2023-08-11,5,800.59
447927,8248,2023-08-16,10000,2023-11-14,4,800.59
373706,8265,2022-10-04,15000,2022-11-03,5,344.09
414888,8274,2023-03-25,20000,2023-04-24,5,508.86
423042,8274,2023-04-28,30000,2023-06-28,5,561.98
387893,8314,2022-12-02,30000,2023-01-01,5,635.10
394598,8323,2022-12-28,50000,2023-01-27,5,577.57
401207,8323,2023-01-27,50000,2023-02-26,5,492.53
408459,8323,2023-02-27,60000,2023-03-29,5,489.66
440860,8323,2023-07-17,50000,2023-08-16,5,556.78
446729,8323,2023-08-10,80000,2023-09-09,5,642.46
451229,8323,2023-08-30,80000,2023-09-29,5,546.86
457808,8323,2023-09-28,80000,2023-11-27,4,575.34
355473,8381,2022-07-18,60000,2022-08-17,5,543.55
370590,8381,2022-09-21,30000,2022-11-20,5,654.08
384466,8381,2022-11-19,20000,2023-01-18,5,654.08
404301,8381,2023-02-10,30000,2023-03-12,5,558.48
440944,8381,2023-07-17,30000,2023-08-16,5,586.96
353352,8386,2022-07-07,20000,2022-09-06,5,497.04
363047,8386,2022-08-20,40000,2022-10-24,5,508.95
377996,8386,2022-10-22,20000,2022-11-21,5,476.53
381264,8386,2022-11-05,50000,2022-12-05,5,476.53
